year,month,tot_min,tot_max,date,max_temperature,min_temperature,day,cat_month,year_month
2008,01,7,27,2008-01-01,17,10,01,January,2008-01
2008,01,7,27,2008-01-02,16,10,02,January,2008-01
2008,01,7,27,2008-01-03,18,11,03,January,2008-01
2008,01,7,27,2008-01-04,20,14,04,January,2008-01
2008,01,7,27,2008-01-05,21,13,05,January,2008-01
2008,01,7,27,2008-01-06,22,17,06,January,2008-01
2008,01,7,27,2008-01-07,24,16,07,January,2008-01
2008,01,7,27,2008-01-08,24,19,08,January,2008-01
2008,01,7,27,2008-01-09,25,20,09,January,2008-01
2008,01,7,27,2008-01-10,25,21,10,January,2008-01
2008,01,7,27,2008-01-11,27,21,11,January,2008-01
2008,01,7,27,2008-01-12,26,19,12,January,2008-01
2008,01,7,27,2008-01-13,23,16,13,January,2008-01
2008,01,7,27,2008-01-14,17,11,14,January,2008-01
2008,01,7,27,2008-01-15,17,13,15,January,2008-01
2008,01,7,27,2008-01-16,17,11,16,January,2008-01
2008,01,7,27,2008-01-17,13,10,17,January,2008-01
2008,01,7,27,2008-01-18,18,10,18,January,2008-01
2008,01,7,27,2008-01-19,21,16,19,January,2008-01
2008,01,7,27,2008-01-20,23,17,20,January,2008-01
2008,01,7,27,2008-01-21,19,15,21,January,2008-01
2008,01,7,27,2008-01-22,18,14,22,January,2008-01
2008,01,7,27,2008-01-23,19,14,23,January,2008-01
2008,01,7,27,2008-01-24,19,11,24,January,2008-01
2008,01,7,27,2008-01-25,13,11,25,January,2008-01
2008,01,7,27,2008-01-26,13,10,26,January,2008-01
2008,01,7,27,2008-01-27,10,9,27,January,2008-01
2008,01,7,27,2008-01-28,14,9,28,January,2008-01
2008,01,7,27,2008-01-29,12,10,29,January,2008-01
2008,01,7,27,2008-01-30,12,8,30,January,2008-01
2008,01,7,27,2008-01-31,10,7,31,January,2008-01
2008,02,7,21,2008-02-01,11,8,01,February,2008-02
2008,02,7,21,2008-02-02,9,7,02,February,2008-02
2008,02,7,21,2008-02-03,14,7,03,February,2008-02
2008,02,7,21,2008-02-04,14,9,04,February,2008-02
2008,02,7,21,2008-02-05,13,11,05,February,2008-02
2008,02,7,21,2008-02-06,13,9,06,February,2008-02
2008,02,7,21,2008-02-07,11,8,07,February,2008-02
2008,02,7,21,2008-02-08,13,9,08,February,2008-02
2008,02,7,21,2008-02-09,14,8,09,February,2008-02
2008,02,7,21,2008-02-10,13,11,10,February,2008-02
2008,02,7,21,2008-02-11,12,8,11,February,2008-02
2008,02,7,21,2008-02-12,14,8,12,February,2008-02
2008,02,7,21,2008-02-13,14,10,13,February,2008-02
2008,02,7,21,2008-02-14,14,12,14,February,2008-02
2008,02,7,21,2008-02-15,15,11,15,February,2008-02
2008,02,7,21,2008-02-16,16,12,16,February,2008-02
2008,02,7,21,2008-02-17,16,13,17,February,2008-02
2008,02,7,21,2008-02-18,19,13,18,February,2008-02
2008,02,7,21,2008-02-19,19,14,19,February,2008-02
2008,02,7,21,2008-02-20,19,13,20,February,2008-02
2008,02,7,21,2008-02-21,21,14,21,February,2008-02
2008,02,7,21,2008-02-22,20,17,22,February,2008-02
2008,02,7,21,2008-02-23,21,17,23,February,2008-02
2008,02,7,21,2008-02-24,17,15,24,February,2008-02
2008,02,7,21,2008-02-25,18,14,25,February,2008-02
2008,02,7,21,2008-02-26,18,13,26,February,2008-02
2008,02,7,21,2008-02-27,17,10,27,February,2008-02
2008,02,7,21,2008-02-28,18,11,28,February,2008-02
2008,02,7,21,2008-02-29,16,14,29,February,2008-02
2008,03,11,28,2008-03-01,20,11,01,March,2008-03
2008,03,11,28,2008-03-02,24,14,02,March,2008-03
2008,03,11,28,2008-03-03,25,14,03,March,2008-03
2008,03,11,28,2008-03-04,24,15,04,March,2008-03
2008,03,11,28,2008-03-05,22,16,05,March,2008-03
2008,03,11,28,2008-03-06,22,16,06,March,2008-03
2008,03,11,28,2008-03-07,25,18,07,March,2008-03
2008,03,11,28,2008-03-08,23,17,08,March,2008-03
2008,03,11,28,2008-03-09,24,16,09,March,2008-03
2008,03,11,28,2008-03-10,23,18,10,March,2008-03
2008,03,11,28,2008-03-11,24,17,11,March,2008-03
2008,03,11,28,2008-03-12,25,18,12,March,2008-03
2008,03,11,28,2008-03-13,25,19,13,March,2008-03
2008,03,11,28,2008-03-14,25,20,14,March,2008-03
2008,03,11,28,2008-03-15,25,19,15,March,2008-03
2008,03,11,28,2008-03-16,25,19,16,March,2008-03
2008,03,11,28,2008-03-17,25,21,17,March,2008-03
2008,03,11,28,2008-03-18,26,21,18,March,2008-03
2008,03,11,28,2008-03-19,28,20,19,March,2008-03
2008,03,11,28,2008-03-20,23,20,20,March,2008-03
2008,03,11,28,2008-03-21,24,20,21,March,2008-03
2008,03,11,28,2008-03-22,22,20,22,March,2008-03
2008,03,11,28,2008-03-23,22,19,23,March,2008-03
2008,03,11,28,2008-03-24,25,19,24,March,2008-03
2008,03,11,28,2008-03-25,22,19,25,March,2008-03
2008,03,11,28,2008-03-26,21,16,26,March,2008-03
2008,03,11,28,2008-03-27,25,16,27,March,2008-03
2008,03,11,28,2008-03-28,25,22,28,March,2008-03
2008,03,11,28,2008-03-29,27,24,29,March,2008-03
2008,03,11,28,2008-03-30,28,21,30,March,2008-03
2008,03,11,28,2008-03-31,22,19,31,March,2008-03
2008,04,17,31,2008-04-01,19,18,01,April,2008-04
2008,04,17,31,2008-04-02,20,18,02,April,2008-04
2008,04,17,31,2008-04-03,20,17,03,April,2008-04
2008,04,17,31,2008-04-04,27,19,04,April,2008-04
2008,04,17,31,2008-04-05,28,22,05,April,2008-04
2008,04,17,31,2008-04-06,28,21,06,April,2008-04
2008,04,17,31,2008-04-07,30,22,07,April,2008-04
2008,04,17,31,2008-04-08,29,26,08,April,2008-04
2008,04,17,31,2008-04-09,29,26,09,April,2008-04
2008,04,17,31,2008-04-10,29,25,10,April,2008-04
2008,04,17,31,2008-04-11,28,23,11,April,2008-04
2008,04,17,31,2008-04-12,27,23,12,April,2008-04
2008,04,17,31,2008-04-13,26,23,13,April,2008-04
2008,04,17,31,2008-04-14,28,23,14,April,2008-04
2008,04,17,31,2008-04-15,28,23,15,April,2008-04
2008,04,17,31,2008-04-16,29,24,16,April,2008-04
2008,04,17,31,2008-04-17,31,24,17,April,2008-04
2008,04,17,31,2008-04-18,26,23,18,April,2008-04
2008,04,17,31,2008-04-19,26,22,19,April,2008-04
2008,04,17,31,2008-04-20,29,26,20,April,2008-04
2008,04,17,31,2008-04-21,29,26,21,April,2008-04
2008,04,17,31,2008-04-22,30,24,22,April,2008-04
2008,04,17,31,2008-04-23,25,21,23,April,2008-04
2008,04,17,31,2008-04-24,23,20,24,April,2008-04
2008,04,17,31,2008-04-25,23,21,25,April,2008-04
2008,04,17,31,2008-04-26,26,20,26,April,2008-04
2008,04,17,31,2008-04-27,26,23,27,April,2008-04
2008,04,17,31,2008-04-28,22,20,28,April,2008-04
